index,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost,ttb_bluebook_id,
1700,2018,Mazda,3,2,E,Sedan,AT,14,18,silver,112500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12801094?auc=true,399000,387,
1664,2018,Mazda,CX-3,2,S,SUV,AT,15,22,white,45448,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12820307,509700,993,
667,2015,Mazda,3,2,SP Sports,Hatchback,AT,14,18,red,152500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12137256,388000,439,
1100,2018,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,white,22500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12070543?auc=true,289000,730,
1635,2014,Mazda,CX-5,2,S,SUV,AT,13,16,white,177500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12850573,389000,1110,
122,2014,Mazda,3,2,S,Sedan,AT,14,18,gray,102500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12413356,419000,459,
2126,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,22,gray,127500,2023-10-25,mazda-2-sports-high-connect-ภาคกลาง-อำเภออุทัย/11974630,399000,151,
1778,2016,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15,25,brown,74636,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12819361,353300,181,
1848,2012,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,14,21,white,122500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคตะวันออก-อำเภอศรีราชา/12783268,749000,933,แพงจังวะ
528,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,black,17500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12753068?auc=true,329000,101,
221,2016,Mazda,CX-3,2,E,SUV,AT,15,22,brown,77500,2023-10-25,mazda-cx-3-e-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12294633?carsome=true,374900,1009,
709,2017,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,14,21,gray,72500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12279444?auc=true,369000,752,
1798,2022,Mazda,2,1.3,S Sports,Hatchback,AT,15,25,gray,17500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12809158,459000,37,
2114,2020,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,red,47500,2023-10-25,mazda-2-sports-high-connect-ภาคตะวันออก-อำเภอศรีราชา/11997541?auc=true,437000,101,
398,2020,Mazda,3,2,SP,Sedan,AT,19,24,red,52500,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12812753?auc=true,658000,364,
1031,2017,Mazda,2,1.3,High Plus,Sedan,AT,15,25,white,101644,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-สุขุมวิท/12699414,361000,148,
399,2015,Mazda,3,2,SP Sports,Hatchback,AT,14,18,red,82500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12613392?auc=true,418000,439,
1405,2022,Mazda,CX-30,2,SP,SUV,AT,20,25,white,27500,2023-10-25,mazda-cx-30-sp-ภาคตะวันออก-อำเภอเมืองชลบุรี/12269710?auc=true,939000,1024,
1794,2020,Mazda,2,1.3,S Leather,Sedan,AT,15,25,gray,38013,2023-10-25,mazda-2-s-leather-ภาคตะวันออก-อำเภอพานทอง/12813820,439000,77,
586,2006,Mazda,3,2,R Sport,Hatchback,AT,5,10,blue,2500,2023-10-25,mazda-3-r-sport-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/10234865?auc=true,159000,-1,ไม่มีใน ttb (ปีเก่าเกิน)
861,2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,silver,12500,2023-10-25,mazda-2-elegance-spirit-ภาคกลาง-อำเภอเมืองพระนครศรีอยุธยา/12774144,185000,291,
1446,2015,Mazda,2,1.3,Sports Standard,Hatchback,AT,15,25,gray,42500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/10064644?auc=true,339000,-1,
1591,2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,gray,42500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคตะวันออก-อำเภอศรีราชา/10233995,438000,715,
447,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,red,87500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12692950,421900,101,
